title,price,year,mileage,brand,condition,bids,seller_score,reviews_count,link_type,status
1991 BMW M5,19500.0,1991,198000,BMW,Pre-Owned,,100%,1,Buy It Now,Active
2000 BMW M5 Base 4dr Sedan,33000.0,2000,74000,BMW,Pre-Owned,,100%,91,,Active
New Listing2017 Dodge Charger SXT Sedan 4D,9990.0,2017,154246,Dodge,Jericho Motors Columbus,0.0,100%,21,Buy It Now,Active
2015 Maserati Quattroporte S Q4 Sedan 4D,18990.0,2015,26100,Maserati,Nash Auto Costa Mesa,,100%,538,,Active
2016 Nissan Sentra S,5000.0,2016,123296,Nissan,Pre-Owned,,100%,166,,Active
2005 Cadillac CTS 4dr Sdn,17900.0,2005,127388,Cadillac,Pre-Owned,,100%,3300,Buy It Now,Active
New Listing2019 Mercedes-Benz C-Class,9600.0,2019,40909,Mercedes-Benz,Pre-Owned,,100%,19,,Active
2019 Audi A6,22900.0,2019,61195,Audi,Pre-Owned,,100%,44,,Active
2019 Cadillac XTS,10000.0,2019,138000,Cadillac,Pre-Owned,,0%,3,,Active
2018 Cadillac Ats-V SEDAN 4D,45000.0,2018,20573,Cadillac,Iconic Dealer Consultants San Juan Capistrano,,100%,200,Buy It Now,Active
New Listing1974 Dodge Coronet,24995.0,1974,63833,Dodge,70+ Photos and Video SCROLL DOWN click READ MORE,,97.2%,590,,Active
2012 INFINITI G25 Sedan x,7499.0,2012,103777,Infiniti,Ride of Your Dreams LLC Lakewood,,100%,847,,Active
2003 Lincoln Town Car EXECUTIVE,19950.0,2003,28681,Lincoln,Pre-Owned,,100%,587,,Active
2016 Mercedes-Benz AMG 4MATIC 4dr Sedan,24788.0,2016,62062,Mercedes-Benz,Pre-Owned,,99.4%,2900,,Active
New Listing2021 Mercedes-Benz S-Class S580 - HUGE UPGRADES - LUSTROUS WHEELS - 1 OWNER,84999.0,2021,30918,Mercedes-Benz,Pre-Owned,,100%,27,Buy It Now,Active
2009 Volkswagen Jetta S 4dr Sedan 5M,3900.0,2009,97102,Volkswagen,Pre-Owned,,100%,91,,Active
2009 Toyota Yaris,6449.0,2009,75311,Toyota,Pre-Owned,,100%,1700,,Active
2015 Audi A8 3.0L TDI,15980.0,2015,138999,Audi,Lucky Motors Villa Park,,100%,1000,,Active
2007 Hyundai Elantra GLS,2999.0,2007,105346,Hyundai,Pre-Owned,0.0,0%,8,Auction,Active
2013 BMW M5 Sedan,23419.0,2013,83994,BMW,Pre-Owned,,0%,1100,,Active
1938 Plymouth Sedan Delivery,27600.0,1938,14125,Plymouth,100+ Photos & Video - SCROLL DOWN click 'READ MORE',0.0,98.8%,629,Auction,Active
New Listing2002 Audi S8 QUATTRO,9500.0,2002,182000,Audi,Pre-Owned,,100%,140,,Active
1997 Lincoln Town Car Lincoln Towncar SIGNATURE SERIES Town Car 1 Owner Florida,10900.0,1997,65610,Lincoln,Pre-Owned,,93.3%,1000,,Active
New Listing2017 Ford Fusion Titanium Hybrid Sedan 4D,8990.0,2017,122279,Ford,Jericho Motors Columbus,0.0,100%,21,Buy It Now,Active
2013 BMW 328i xDrive 328i xDrive AWD 4dr Sedan,7900.0,2013,93000,BMW,Kassem Auto Sales INC Park forest,,100%,30,,Active
2015 Mercedes-Benz S-Class S550,24900.0,2015,69810,Mercedes-Benz,Sell Your Auto Fast Orlando,,100%,1200,,Active
"New Listing2011 Lincoln 1 OWNER LOW MILES 59,877",500.0,2011,59877,Lincoln,SALT RUST FREE POWER HATCH NON SMOKERS,2.0,92.1%,3600,Buy It Now,Active
1938 Pontiac Six Touring Sedan,11500.0,1938,0,Pontiac,The Race Shop Eldon,,100%,4,,Active
2022 Subaru Legacy PREMIUM,13900.0,2022,33738,Subaru,Pre-Owned,,100%,594,,Active
2024 Chevrolet Malibu 1FL,14500.0,2024,75,Chevrolet,A-line Motors Paterson,,99.6%,6400,,Active
2009 Honda Accord EXL,8500.0,2009,500,Honda,Pre-Owned,,0%,1,,Active
2012 Audi A8 4.0T QUATTRO TOP LOADED NAV BK/CAM HTD/AC SEATS,11995.0,2012,98036,Audi,Pre-Owned,,100%,888,,Active
2018 BMW 540i 540i,19995.0,2018,114132,BMW,Baha Auto North Chicago,,0%,0,Buy It Now,Active
2019 Audi RS 3 2.5T quattro Fully Built 1000hp Over $100k in Upgr,79800.0,2019,25969,Audi,Illinois Motors Cary,,100%,277,,Active
2023 Honda Accord LX,11858.0,2023,31312,Honda,Pre-Owned,,100%,3600,,Active
2016 Ford Fusion Plug-In Hybrid Titanium Sedan 4D,9000.0,2016,125115,Ford,Daily Classics LLC Gaffney,,100%,267,,Active
2012 Hyundai 4.6L V8 LOW MILES PEARL WHITE,5778.0,2012,87930,Hyundai,BLUETOOTH SMART KEY NON SMOKERS SALT FREE,4.0,92.1%,3600,Buy It Now,Active
2007 Toyota Yaris Sedan 4D,3250.0,2007,169350,Toyota,Daily Classics LLC Gaffney,,100%,267,,Active
1967 Chevrolet Impala,14999.99,1967,86000,Chevrolet,Pre-Owned,,100%,3,,Active
New Listing2011 Cadillac STS LUXURY,5800.0,2011,156000,Cadillac,Pre-Owned,,100%,430,,Active
2022 BMW M3 COMPETITION,7100.0,2022,21000,BMW,Pre-Owned,4.0,100%,422,Auction,Active
2016 BMW 3-Series I SULEV,4000.0,2016,145554,BMW,Pre-Owned,0.0,100%,4,Buy It Now,Active
2019 Nissan Sentra,7900.0,2019,43253,Nissan,Pre-Owned,,99.9%,12800,,Active
2016 Porsche Panamera 4 Edition,24800.0,2016,122371,Porsche,Illinois Motors Cary,,100%,277,,Active
2014 BMW 528i 528i Sedan 4D,9400.0,2014,82167,BMW,Auto Geneva Los Angeles,,0%,0,Buy It Now,Active
1941 Studebaker Champion,3177.0,1941,54698,Studebaker,Pre-Owned,10.0,93.8%,32,Buy It Now,Active
2007 Mercedes-Benz S550 S 550 4dr Sedan,13500.0,2007,68291,Mercedes-Benz,Michael's Auto Sales Mount Clemens,,100%,366,,Active
2022 Honda Civic,14900.0,2022,74625,Honda,FREE SHIPPING TO LOWER 48 STATES,,100%,816,,Active
2017 Nissan Versa 1.6 SV 4dr Sedan,5900.0,2017,136547,Nissan,Florida! Fly In Drive Home Or We Can Ship To Your Door!,,99.3%,961,,Active
2012 Toyota Camry LOW 26K MILES HANDICAP CONTROLS COROLLA 1OWNER,13593.0,2012,25265,Toyota,"RUST FREE, NON SMOKER, MUST SELL!!!",,100%,1300,,Active
New Listing2010 Maserati Quattroporte,4000.0,2010,117830,Maserati,Pre-Owned,0.0,0%,44,Buy It Now,Active
New Listing2022 Tesla Model S Plaid,57450.0,2022,20432,Tesla,EV Auto - Lehi Lehi,,100%,11,,Active
1934 Ford Model 40 Deluxe Tudor,31120.0,1934,31089,Ford,80+ Photos & Video SCROLL DOWN,0.0,0%,340,Auction,Active
1968 Oldsmobile Eighty-Eight Delta88,1.25,1968,61152,Oldsmobile,Pre-Owned,8.0,100%,6,Buy It Now,Active
2008 Honda Accord EX-L V6,7800.0,2008,105331,Honda,Ace Motor Works Lisle,,100%,12,,Active
2009 Mercedes-Benz CLS-Class CLS550 - AMG - 23K Miles,18775.0,2009,23400,Mercedes-Benz,Pre-Owned,,100%,350,,Active
New Listing2015 Audi A8 L 3.0 QUATTRO TDI - LWB - CLEAN CARFAX - TEXAS CAR - TURBO DIESEL,39999.0,2015,39272,Audi,Pre-Owned,,98.7%,1200,Buy It Now,Active
2018 BMW 3-Series XI,16000.0,2018,52000,BMW,Pre-Owned,,0%,0,,Active
2018 Maserati Ghibli S   🔥 FREE DELIVERY! 🔥 Call  786-328-3187,15500.0,2018,56700,Maserati,FREE SHIPPING - NO FEES - 100% FEEDBACK - FREE WARRANTY,,100%,565,Buy It Now,Active
1979 Cadillac Fleetwood,4000.0,1979,46788,Cadillac,**46 788 MILES ONLY**NO RESERVE**FLORIDA CAR**CLEAN**,,99.7%,1800,,Active
2005 Subaru WRX,39950.0,2005,63100,Subaru,One of a kind! Collectible Car!,,100%,82,,Active
2016 Cadillac XTS LUXURY COLLECTION,1150.0,2016,104040,Cadillac,Pre-Owned,13.0,100%,138,Auction,Active
2020 Acura TLX 3.5 w/Technology Pkg Sedan 4D,17995.0,2020,64526,Acura,The Internet Car Lot Lincoln Lincoln,,100%,1600,,Active
1973 BMW Bavaria Sunroof Sedan,13950.0,1973,103997,BMW,Pre-Owned,,100%,316,,Active
2010 BMW 3-Series 328i LTHR ROOF 61K ORIG MILES FRESH TRADE IN NICE,9995.0,2010,61240,BMW,Pre-Owned,,100%,888,,Active
2023 Kia Rio S,13460.0,2023,45158,Kia,Pre-Owned,,0%,0,,Active
2021 Kia K5 GT-Line,22499.0,2021,67369,Kia,Pre-Owned,,0%,0,,Active
2018 Honda Accord Sport,14999.0,2018,108263,Honda,Pre-Owned,,0%,0,,Active
2015 Nissan Versa SV,6999.0,2015,64755,Nissan,Pre-Owned,,0%,0,,Active
2021 BMW 3-Series 330i Sedan 4D,23133.0,2021,63408,BMW,Pre-Owned,,0%,398,,Active
2015 Nissan Sentra SR,4000.0,2015,122854,Nissan,Pre-Owned,,0%,0,,Active
2019 Acura TLX 2.3999999999999999,17785.0,2019,78976,Acura,Pre-Owned,,0%,0,,Active
2021 Subaru WRX Limited,20295.0,2021,55439,Subaru,Pre-Owned,,0%,0,,Active
2016 Audi A3 Quattro 2.0T Premium,9495.0,2016,113407,Audi,Pre-Owned,,0%,0,,Active
2010 Ford Taurus Limited,6999.0,2010,140718,Ford,Pre-Owned,,0%,0,,Active
2013 Honda Civic EX-L,9250.0,2013,125524,Honda,Pre-Owned,,0%,0,,Active
2022 Toyota Camry SE,19995.0,2022,88321,Toyota,Pre-Owned,,0%,0,,Active
2024 Malibu LT 4DR SEDAN w/1LT,17995.0,2024,57732,Chevrolet,Pre-Owned,,100%,1600,,Active
2022 Kia Forte LXS,14632.0,2022,54696,Kia,Pre-Owned,,0%,0,,Active
1908 Oldsmobile Series 20 4 Passenger Touring Sedan,65000.0,1908,61178,Oldsmobile,Pre-Owned,,0%,32,,Active
2020 Nissan Sentra S,11995.0,2020,100109,Nissan,Pre-Owned,,0%,0,,Active
2018 Volkswagen Passat 2.0T SE,13350.0,2018,56394,Volkswagen,Pre-Owned,,0%,0,,Active
2015 Maserati Ghibli S Q4,14900.0,2015,62604,Maserati,Pre-Owned,,0%,0,,Active
2014 Volvo S60 T5 Premier 4dr Sedan,9375.0,2014,76420,Volvo,Pre-Owned,,100%,638,,Sold
1941 Cadillac Series 60 Fleetwood,29500.0,1941,0,Cadillac,Pre-Owned,,100%,74,,Active
2025 Kia K5 GT-Line,28668.0,2025,2,Kia,Brand New,,97.4%,304,,Active
2019 Dodge Charger SXT,17995.0,2019,91574,Dodge,Pre-Owned,,0%,0,,Active
2023 Audi A6 Quattro 45 Premium,27995.0,2023,57673,Audi,Pre-Owned,,0%,0,,Active
2020 Kia Forte GT-Line,20000.0,2020,55961,Kia,Pre-Owned,,0%,0,,Active
2016 Hyundai Elantra SE,5499.0,2016,109909,Hyundai,Pre-Owned,,0%,0,,Active
2015 Lincoln MKS Base,8999.0,2015,120619,Lincoln,Pre-Owned,,0%,0,,Active
2024 Toyota Camry SE,24795.0,2024,38898,Toyota,Pre-Owned,,100%,649,,Active
2020 Hyundai Accent SE,14995.0,2020,59256,Hyundai,Pre-Owned,,0%,0,,Active
2025 Honda Accord SE,32110.0,2025,4,Honda,Brand New,,0%,0,,Active
2022 Mercedes-Benz S-Class S500,52495.0,2022,69370,Mercedes-Benz,Pre-Owned,,100%,468,,Active
"2010 Rolls-Royce Ghost -Low Miles, Twin Turbo V12 Power, Rear Seat Entert",104900.0,2010,11494,Rolls-Royce,Pre-Owned,,100%,313,,Active
2020 Volkswagen Jetta SEL,16181.0,2020,59380,Volkswagen,Pre-Owned,,0%,0,,Active
2024 Nissan Altima 2.5 SV,19250.0,2024,35970,Nissan,Pre-Owned,,100%,649,,Active
1986 Rolls-Royce Silver Spur and Spirit,22500.0,1986,47019,Rolls-Royce,Pre-Owned,,98.8%,629,,Active
2021 Kia Forte GT,15280.0,2021,56836,Kia,Pre-Owned,,0%,0,,Active
"1925 Chrysler B-70 Rare Chrysler B-70, Matching Numbers 201.5ci",29000.0,1925,6000,Chrysler,Pre-Owned,,100%,575,,Active
2023 Toyota Corolla SE,20950.0,2023,41839,Toyota,Pre-Owned,,100%,649,,Active
2018 Porsche Panamera 4S,64900.0,2018,26628,Porsche,Pre-Owned,,97.6%,229,,Active
2008 Ford Taurus SEL,4500.0,2008,103448,Ford,Pre-Owned,,0%,0,,Active
2023 BMW M8 Competition,78999.0,2023,43157,BMW,Pre-Owned,,100%,4,,Active
1935 Chevrolet Sedan Delivery,35900.0,1935,21492,Chevrolet,Pre-Owned,,97.6%,229,,Active
2024 Bentley Flying Spur Speed,269877.0,2024,1723,Bentley,Pre-Owned,,0%,141,,Active
2017 Chevrolet Cruze Premier Sedan 4D,5500.0,2017,156943,Chevrolet,Pre-Owned,,100%,771,,Active
1941 Chevrolet Special DeLuxe Standard,4000.0,1941,99999,Chevrolet,Pre-Owned,,98.5%,3700,,Active
2024 Honda Accord EX,25999.0,2024,33429,Honda,Pre-Owned,,0%,0,,Active
2017 Hyundai Elantra SE,7995.0,2017,141679,Hyundai,Pre-Owned,,0%,0,,Active
2019 Hyundai Sonata SE,9750.0,2019,110650,Hyundai,Pre-Owned,,0%,0,,Active
2012 Mercedes-Benz C300 C300 4MATIC,7995.0,2012,107009,Mercedes-Benz,Pre-Owned,,0%,0,,Active
2018 Kia Optima SX,11170.0,2018,75852,Kia,Pre-Owned,,0%,0,,Active
2023 Mercedes-Benz S580 S 580,89999.0,2023,10496,Mercedes-Benz,Pre-Owned,,0%,0,,Active
2021 Honda Accord Touring 2.0T,27650.0,2021,40639,Honda,Pre-Owned,,100%,36,,Active
2013 INFINITI G37 G37 Journey,10495.0,2013,130537,Infiniti,Pre-Owned,,0%,0,,Active
2009 Honda Civic EX-L,8355.0,2009,130359,Honda,Pre-Owned,,0%,0,,Active
2017 Nissan Maxima SV,7999.0,2017,164129,Nissan,Pre-Owned,,0%,0,,Active
2021 Honda Civic LX,18995.0,2021,58401,Honda,Pre-Owned,,0%,0,,Active
2025 Kia K4 GT-Line,27180.0,2025,2,Kia,Brand New,,97.4%,304,,Active
2023 Nissan Altima 2.5 S,15795.0,2023,55970,Nissan,Pre-Owned,,0%,0,,Active
2019 Hyundai Elantra SE,12995.0,2019,74521,Hyundai,Pre-Owned,,0%,0,,Active
2019 Subaru Legacy 2.5i,18932.0,2019,49112,Subaru,Pre-Owned,,100%,36,,Active
2014 Audi A6 PREMIUM PLUS,8000.0,2014,98000,Audi,Pre-Owned,,0%,32,,Active
1955 Pontiac Star Chief,16599.0,1955,52618,Pontiac,Pre-Owned,,100%,21,,Active
2016 Mercedes-Benz CLA-Class AWD 2.0T CLA 250 4MATIC® SPORT-EDITION,9995.0,2016,105799,Mercedes-Benz,(313-500-1118)CALL OR TEXT WALLY ANYTIME,,100%,3400,,Active
1979 Lincoln Continental town car only 7200 original miles must see,19700.0,1979,7283,Lincoln,Pre-Owned,,100%,147,,Active
New Listing1962 Chevrolet Corvair,3000.0,1962,0,Chevrolet,Pre-Owned,0.0,100%,1100,Auction,Active
2019 Kia Rio S,5999.0,2019,93463,Kia,WorldWide Inc Phoenix,,100%,204,Buy It Now,Active
2007 Subaru Impreza WRX,3000.0,2007,135730,Subaru,Pre-Owned,0.0,100%,11,Auction,Active
2010 Ford Focus SE,1900.0,2010,186000,Ford,Pre-Owned,,100%,6,,Active
2018 Mercedes-Benz S-Class S 560,41995.0,2018,23853,Mercedes-Benz,Varsity Auto Group Westbury,,0%,0,,Active
2022 Toyota Mirai XLE Sedan 4D,9990.0,2022,46164,Toyota,Nash Auto Costa Mesa,,100%,538,,Active
2018 BMW 3-Series,9900.0,2018,52446,BMW,Pre-Owned,,99.9%,12800,,Active
2016 Dodge Charger Pursuit,8500.0,2016,135710,Dodge,Pre-Owned,,100%,274,Buy It Now,Active
2009 Saab 9-3 XWD 2.0 Turbo,8450.0,2009,81779,Saab,Pre-Owned,,100%,548,,Active
2018 Nissan Altima 2.5,8000.0,2018,107970,Nissan,Pre-Owned,,98.4%,346,,Active
2005 Mercedes-Benz C240 C 240,6995.0,2005,72000,Mercedes-Benz,Pre-Owned,,100%,736,,Active
2012 Porsche Panamera LUXURY LOADED NAV ROOF HTD SEATS HWY MILES NICE,16995.0,2012,93455,Porsche,Pre-Owned,,100%,888,,Active
2010 Mini Clubman,5500.0,2010,94000,Mini,Pre-Owned,,100%,122,,Active
2009 Pontiac G8 GT,14500.0,2009,145500,Pontiac,Pre-Owned,,100%,2000,,Active
2014 Ford Taurus Police Interceptor AWD 4dr Sedan,8400.0,2014,100818,Ford,Florida! Fly In Drive Home Or We Can Ship To Your Door!,,99.3%,961,,Active
2010 Mercedes-Benz E-Class E 350 Luxury 62K MILES NAV BK/CAM HTD STS ROOF NIC,10495.0,2010,62585,Mercedes-Benz,Pre-Owned,,100%,888,,Active
2012 Mercedes-Benz S-Class S550,13973.0,2012,83955,Mercedes-Benz,Pro Motorcars Costa Mesa,,100%,618,Buy It Now,Active
2019 Subaru WRX STi,27595.0,2019,58075,Subaru,Prime Motors Co Portland,,100%,703,,Active
2018 Maserati Quattroporte GTS,37950.0,2018,41747,Maserati,Pre-Owned,,100%,2500,,Active
2006 Chevrolet Impala LT,3200.0,2006,143303,Chevrolet,Pre-Owned,,100%,761,,Active
New Listing1977 Lincoln Continental,15000.0,1977,78840,Lincoln,Pre-Owned,,100%,733,,Active
2018 Toyota Camry LE 4dr Sedan,17999.0,2018,65500,Toyota,P7 Auto Firm Richmond,,98.4%,1000,,Active
1937 Buick Century Humpback Sedan,5000.0,1937,731,Buick,70+ Photos and Video SCROLL DOWN click READ MORE,,97.2%,590,,Active
2017 Toyota Other,5500.0,2017,102000,Toyota,Pre-Owned,0.0,100%,19,Auction,Active
2018 Cadillac CTS 3.6 Premium Luxury Sedan 4D,16999.0,2018,103884,Cadillac,Dallas I Car Dallas,,100%,16,Buy It Now,Active
New Listing2014 Chrysler 300 Series 25K MILES - BLACK ON BLACK - IMMACULATE CONDITION!,13900.0,2014,25556,Chrysler,Pre-Owned,,92.3%,220,,Active
1990 Bentley Turbo R,9900.0,1990,87392,Bentley,Prestigious Euro Cars Fort Lauderdale,,98.4%,758,,Active
2018 BMW M3,49995.0,2018,49998,BMW,Prime Motors Co Portland,,100%,703,,Active
2013 Mercedes-Benz E350 E 350 Sedan 4D,8995.0,2013,99375,Mercedes-Benz,Bespoke Auto Collection Roseville,,100%,19,Buy It Now,Active
2015 Porsche Panamera S E HYBRID - CARRERA RED SEATS - CLEAN CARFAX - 62K MILES!,31499.0,2015,62907,Porsche,Pre-Owned,,98.7%,1200,Buy It Now,Active
2001 Jaguar S-Type ONLY 61K MILES CLEAN CARFAX NON SMOKER XJ8 XF,5591.0,2001,61110,Jaguar,"FLORIDA RUST FREE, NON SMOKER, PRICED TO SELL!!!",,100%,2300,,Active
2019 Ford Fusion Plug-In Hybrid Titanium Sedan 4D,10990.0,2019,118251,Ford,Jericho Motors Columbus,0.0,100%,21,Buy It Now,Active
Subaru: WRX,14286.73,2023,28580,Subaru,Pre-Owned,0.0,100%,12,Auction,Active
2017 Chevrolet SS,45500.0,2017,62000,Chevrolet,Chevy SS Sedan 6 Speed OBM M6 Clean Carfax,,100%,816,,Active
2011 Ford Fiesta SE 4dr Sedan,1200.0,2011,156544,Ford,Florida! Fly In Drive Home Or We Can Ship To Your Door!,,99.3%,961,,Active
2021 Acura TLX 2.0 w/A-SPEC Pkg Sedan 4D,24999.0,2021,47500,Acura,Andy's Auto and RV Sales Justin,,100%,518,Buy It Now,Active
2014 Honda Accord HYBRID EXL,5200.0,2014,248575,Honda,Pre-Owned,4.0,100%,16,Auction,Active
1998 Toyota Camry LE V6,7900.0,1998,54691,Toyota,Pre-Owned,,100%,318,,Active
1957 Chevrolet Bel Air/150/210 150,6500.0,1957,1000,Chevrolet,Pre-Owned,0.0,100%,401,Auction,Active
2007 Bentley Continental Flying Spur,35995.0,2007,32381,Bentley,"One Owner, No accidents, Well Maintained",,100%,873,,Active
2003 Lincoln Town Car CARTIER - ONLY 27K MILES! - VINYL ROOF - 2 OWNERS,25999.0,2003,27720,Lincoln,Pre-Owned,,98.7%,1200,Buy It Now,Active
2020 Lincoln Continental Black Label,37895.0,2020,37007,Lincoln,Pre-Owned,,0%,1100,,Active
2014 Dodge Charger POLICE,5600.0,2014,95482,Dodge,Pre-Owned,,100%,32,,Active
2018 Lexus IS300 IS 300 Sedan 4D,29990.0,2018,14772,Lexus,Nash Auto Costa Mesa,,100%,538,,Active
2014 BMW M5,30000.0,2014,89000,BMW,"6MT Forged RPi GTM Race Exhaust, Stage 2 Turbos",,100%,32,,Active
New Listing2003 Toyota Camry SE,280.0,2003,211719,Toyota,Pre-Owned,2.0,99%,10300,Auction,Active
1999 Buick Regal GS,9995.0,1999,78000,Buick,Pre-Owned,,100%,2900,,Active
2015 Hyundai Sonata SE,6995.0,2015,136953,Hyundai,Auto House of Bloomington Bloomington,,0%,0,,Active
2023 Tesla Model 3 RWD MODEL 3 LUXURY-EDITION(NAVIGATION & PANORAMIC),4550.0,2023,27119,Tesla,(313-500-1118)CALL OR TEXT WALLY ANYTIME,3.0,100%,3400,Auction,Active
1999 Nissan Maxima GXE,3950.0,1999,44565,Nissan,Pre-Owned,,99.7%,5000,Buy It Now,Active
